"Hotel Name "," Hotel Id "," Room Type "," Booking id "," Customer Name "," Phone "," Email "," Booking Time "," Booking Date "," Check In "," Status "," Room Rent "," Down Payment "," Amount Due "," Dispute "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455784162 "," Test "," 1 "," Info@eloginn.com"," 16:29:22 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$123.00 "," HK$24.60 "," HK$98.4 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455788866 "," 8 "," 8 "," 8"," 17:47:46 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$200.00 "," HK$40.00 "," HK$160 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455788447 "," 7 "," 7 "," 7"," 17:40:47 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$200.00 "," HK$40.00 "," HK$160 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455788385 "," 6 "," 6 "," Y"," 17:39:45 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$200.00 "," HK$40.00 "," HK$160 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double).<br/> "," SPK1455788298 "," 5 "," 5 "," T"," 17:38:18 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$500.00 "," HK$100.00 "," HK$400 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455787960 "," D "," 97009865 "," D"," 17:32:40 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$200.00 "," HK$40.00 "," HK$160 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455787959 "," T "," T "," T"," 17:32:39 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$200.00 "," HK$40.00 "," HK$160 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455787615 "," Q "," Q "," Q"," 17:26:55 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$200.00 "," HK$40.00 "," HK$160 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/>Luxury Room - Overnight (Double).<br/> "," SPK1455785651 "," sdadfj "," 97009865 "," safjk@asdj.com"," 16:54:11 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$700.00 "," HK$140.00 "," HK$560 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455785489 "," sdadfj "," 97009865 "," safjk@asdj.com"," 16:51:29 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$2000.00 "," HK$400.00 "," HK$1600 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455785379 "," 1 "," 1 "," 1"," 16:49:39 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$123.00 "," HK$24.60 "," HK$98.4 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double).<br/> "," SPK1455788929 "," 0 "," 0 "," 0"," 17:48:49 "," 18/02/2016 "," 18/02/2016 "," Confirm "," HK$200.00 "," HK$40.00 "," HK$160 "," "
