"Hotel Name "," Hotel Id "," Room Type "," Booking id "," Customer Name "," Phone "," Email "," Booking Time "," Booking Date "," Check In "," Status "," Room Rent "," Down Payment "," Amount Due "," Dispute "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1466359965 "," asdf "," 98765432 "," fake@example.com"," 02:12:45 "," 20/06/2016 "," 19/06/2016 "," Confirm "," HK$350.00 "," HK$0.00 "," HK$350 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1466327223 "," Wowi "," 98172338 "," Kejsj@dksk.com"," 17:07:03 "," 19/06/2016 "," 19/06/2016 "," Confirm "," HK$80.00 "," HK$0.00 "," HK$80 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1466274959 "," fake "," 98765432 "," fake@example.com"," 02:35:59 "," 19/06/2016 "," 18/06/2016 "," Confirm "," HK$350.00 "," HK$0.00 "," HK$350 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1466274789 "," fake "," 98765432 "," fake@example.com"," 02:33:09 "," 19/06/2016 "," 18/06/2016 "," Confirm "," HK$80.00 "," HK$0.00 "," HK$80 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1466185398 "," fff "," 1111 "," fff"," 01:43:18 "," 18/06/2016 "," 17/06/2016 "," Confirm "," HK$80.00 "," HK$0.00 "," HK$80 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1466185259 "," cc "," 123 "," cc"," 00:00:00 "," 00/00/0000 "," 17/06/2016 "," Confirm "," HK$80.00 "," HK$0.00 "," HK$80 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1466184794 "," aaa "," 123123123 "," ddd"," 00:00:00 "," 00/00/0000 "," 17/06/2016 "," Confirm "," HK$350.00 "," HK$0.00 "," HK$350 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1466183415 "," asdf "," 12341234 "," asdf"," 01:10:15 "," 18/06/2016 "," 17/06/2016 "," Confirm "," HK$350.00 "," HK$0.00 "," HK$350 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1466180536 "," asdf "," qwer "," qqwer"," 00:22:16 "," 18/06/2016 "," 17/06/2016 "," Confirm "," HK$80.00 "," HK$0.00 "," HK$80 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1466180429 "," assdf "," 1234 "," asdffff"," 00:20:30 "," 18/06/2016 "," 17/06/2016 "," Confirm "," HK$80.00 "," HK$16.00 "," HK$64 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1465928341 "," fff "," 123 "," ffff"," 02:19:01 "," 15/06/2016 "," 14/06/2016 "," Confirm "," HK$300.00 "," HK$0.00 "," HK$300 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1465928310 "," asdf "," 123 "," asdf"," 02:18:30 "," 15/06/2016 "," 14/06/2016 "," Confirm "," HK$300.00 "," HK$0.00 "," HK$300 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1465788484 "," Shjdjsj "," Djjdd "," Jejdjdjdj"," 11:28:04 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$80.00 "," HK$0.00 "," HK$80 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1465788268 "," rfdegsfew "," gresgres "," gsegrse"," 11:24:28 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$300.00 "," HK$60.00 "," HK$240 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1465788242 "," Yuuu "," Uhhu "," Uuuu"," 11:24:02 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$300.00 "," HK$0.00 "," HK$300 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1465788173 "," Huhuu "," Hhhhh "," Uuhhu"," 11:22:53 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$300.00 "," HK$0.00 "," HK$300 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1465788137 "," Guyu "," Hyhh "," Huuu"," 11:22:17 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$300.00 "," HK$0.00 "," HK$300 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1465788064 "," Jfkkf "," Jjkk "," jjjjj"," 11:21:04 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$80.00 "," HK$0.00 "," HK$80 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1465787952 "," 0613new 2 "," Jxkdkdjd "," Isidjd"," 11:19:12 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$80.00 "," HK$0.00 "," HK$80 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1465787875 "," 0613new "," Dkjdnff "," Djdkdk"," 11:17:55 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$300.00 "," HK$0.00 "," HK$300 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1465787730 "," 0613-2 "," fdsfdsafsas "," safdsad"," 11:15:30 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$300.00 "," HK$60.00 "," HK$240 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1465787692 "," 0613 "," fdasfsa "," qdsaf"," 11:14:53 "," 13/06/2016 "," 13/06/2016 "," Confirm "," HK$80.00 "," HK$16.00 "," HK$64 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1465737566 "," Qqqqqq "," 1234 "," Wwwwww"," 21:19:26 "," 12/06/2016 "," 12/06/2016 "," Confirm "," HK$80.00 "," HK$16.00 "," HK$64 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - Overnight (Double). "," SPK1465735318 "," Eee "," 1234 "," Fff"," 20:41:58 "," 12/06/2016 "," 12/06/2016 "," Confirm "," HK$300.00 "," HK$60.00 "," HK$240 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1465734987 "," Qqq "," 1234 "," Aaa"," 20:36:27 "," 12/06/2016 "," 12/06/2016 "," Confirm "," HK$80.00 "," HK$16.00 "," HK$64 "," "
"eLog Inn (A Day Hotel) ","2 ","  "," SPK1465259586 ","  ","  "," "," 08:33:06 "," 07/06/2016 "," 07/06/2016 "," Confirm "," HK$300.00 "," HK$0.00 "," HK$300 "," "
"eLog Inn (A Day Hotel) ","2 "," Luxury Room - 3 Hours (Double). "," SPK1465007003 "," Gfdf "," Trfd "," Gfd"," 10:23:23 "," 04/06/2016 "," 04/06/2016 "," Confirm "," HK$197.00 "," HK$39.40 "," HK$157.6 "," "
